1,31,28,24,13,9,4,60,46,31,30.23,29.95,29.8,10,10,10,15,9,32,0,
2,29,24,19,20,10,3,81,58,34,30.3,30.16,30.06,10,7,2,16,7,26,0.02,Snow
3,30,27,24,21,18,14,81,67,53,30.04,29.9,29.79,10,8,2,10,4,15,0.02,Snow
4,30,27,23,19,9,6,69,54,39,29.97,29.92,29.81,10,10,7,17,7,32,0,
5,32,30,28,28,24,15,85,68,50,29.98,29.93,29.9,10,5,2,13,5,15,0.02,Snow
6,39,34,29,28,19,0,92,62,31,30.35,30.12,29.92,10,8,2,15,5,22,0,
7,32,29,26,22,10,1,59,44,29,30.51,30.42,30.33,10,10,10,10,6,13,0,
8,34,31,27,31,29,23,92,78,63,30.31,29.86,29.64,10,3,0,25,14,37,1.15,"Fog , Rain , Snow"
9,32,27,21,26,18,5,92,64,36,30.34,29.97,29.76,10,4,0,18,9,31,0.38,"Fog , Snow"
10,36,27,18,21,11,6,67,51,35,30.48,30.39,30.33,10,10,10,13,3,20,0,
11,45,40,34,43,39,15,100,74,47,30.31,29.9,29.67,10,3,0,10,4,18,0.49,"Fog , Rain"
12,44,40,36,38,25,22,83,64,45,29.96,29.85,29.72,10,10,10,17,9,32,0,
13,44,39,33,31,25,20,82,61,40,29.95,29.8,29.7,10,9,2,12,3,18,0.03,Snow
14,46,40,33,31,28,22,89,63,37,30,29.88,29.72,10,9,4,13,4,18,T,Snow
15,55,46,37,36,31,27,76,59,41,30.01,29.97,29.91,10,8,5,16,6,24,0,
16,41,36,31,33,25,13,92,69,45,29.98,29.9,29.73,10,10,7,15,7,25,0.02,Snow
17,32,25,18,13,3,-2,47,37,27,30,29.76,29.66,10,10,10,25,12,40,0,
18,35,26,17,10,4,0,49,39,28,30.23,30.17,30.02,10,10,10,17,8,31,0,
19,49,41,33,43,29,10,89,64,38,30.19,29.88,29.67,10,9,5,18,7,28,0.15,Rain
20,38,32,25,20,12,7,54,45,36,29.98,29.85,29.72,10,10,10,22,12,34,0,
21,34,29,24,12,10,9,60,49,38,30.27,30.06,29.97,10,10,10,21,10,32,0,
22,38,32,25,30,21,13,70,59,48,30.39,30.33,30.27,10,10,10,16,7,24,0,
23,42,39,36,40,36,31,93,85,76,30.27,30.04,29.81,10,4,1,21,9,30,0.26,Rain
24,47,41,34,36,32,20,92,72,52,29.96,29.81,29.74,10,8,2,17,7,32,0.01,
25,45,39,32,26,24,21,69,57,45,30.23,30.12,29.99,10,10,10,12,5,18,0,
26,44,40,35,34,30,27,92,75,57,30.29,30.17,29.9,10,9,3,20,8,28,0.14,Rain
27,47,42,36,43,38,34,100,83,65,29.91,29.63,29.5,10,4,1,24,11,37,1.56,Rain
28,51,45,39,36,32,26,70,58,46,29.64,29.59,29.55,10,10,7,12,5,19,T,Rain
